REPORT of REGIONAL HOSPITAL'S SITUATION
 denominazione_regione  totale_casi  totale_positivi  nuovi_positivi  dimessi_guariti  deceduti  variazione_totale_positivi  isolamento_domiciliare  totale_ospedalizzati  terapia_intensiva
               Abruzzo         1436             1211              35              102       123                          20                     798                   413                 71
            Basilicata          237              225              11                3         9                           9                     171                    54                 15
          P.A. Bolzano         1418             1112              47              190       116                         -30                     786                   326                 57
              Calabria          669              610              10               21        38                           4                     450                   160                 16
              Campania         2231             1976             139              107       148                         105                    1369                   607                129
        Emilia-Romagna        14787            11489             713             1566      1732                         536                    7232                  4257                359
 Friuli Venezia Giulia         1685             1206              92              357       122                          46                     940                   266                 60
                 Lazio         3264             2758             169              337       169                         116                    1450                  1308                177
               Liguria         3660             2645             244              555       460                         137                    1352                  1293                179
             Lombardia        44773            25765            1565            11415      7593                         641                   12496                 13269               1342
                Marche         3962             3456             137               29       477                         104                    2304                  1152                168
                Molise          160              131              16               19        10                          14                      91                    40                  8
              Piemonte         9795             8470             494              439       886                         388                    4871                  3599                453
                Puglia         1946             1756             143               61       129                         102                    1012                   744                107
              Sardegna          745              675              23               36        34                          18                     529                   146                 27
               Sicilia         1718             1544              71               86        88                          52                     976                   568                 72
               Toscana         4867             4432             259              182       253                         206                    3015                  1417                297
           P.A. Trento         1870             1483             124              214       173                          94                    1062                   421                 76
                Umbria         1095              864              17              194        37                          13                     646                   218                 45
         Valle d'Aosta          631              540               3               32        59                         -12                     428                   112                 27
                Veneto         9625             8224             470              902       499                         374                    6156                  2068                350
